name;domain;
Basis;Subspaces;
Characteristic equation;Eigenvalues;
Complex eigenvalues;Eigenvalues;
Constraint optimization;Symmetry;
Coordinate vectors;Subspaces;
Determinants;Transformations;
Diagonalization;Eigenvalues;
Differential equations;Eigenvalues;
Dimension and rank;Subspaces;
Discrete systems;Eigenvalues;
Echelon forms;Systems;
Eigenvalues and eigenvectors;Eigenvalues;
Gram-Schmidt process;Subspaces;
Homogeneous linear systems;Systems;
Inner product;Subspaces;
Inverse matrices;Transformations;
Least-squares problems;Systems;
Linear combinations;Systems;
Linear independence;Systems;
Linear transformations;Transformations;
Matrices;Systems;
Matrix equations;Systems;
Matrix-vector product;Systems;
Orthogonal projections;Subspaces;
Orthogonality;Subspaces;
Orthonormality;Subspaces;
Quadratic forms;Symmetry;
Similarity;Eigenvalues;
Singular value decomposition;Symmetry;
Spans;Systems;
Subspaces;Subspaces;
Symmetric matrices;Symmetry;
Systems of linear equations;Systems;
Vector equations;Systems;
Vectors;Systems;
Area & Volume;Transformations;
