name;domain;
Diagonalization;Eigenvalues;
Similarity;Eigenvalues;
Eigenvalues and eigenvectors;Eigenvalues;
Characteristic equation;Eigenvalues;
Complex eigenvalues;Eigenvalues;
Power method;Eigenvalues;
Gram-Schmidt process;Subspaces;
Coordinate vectors;Subspaces;
Basis;Subspaces;
Subspaces;Subspaces;
Dimension and rank;Subspaces;
Inner product;Subspaces;
Orthogonality;Subspaces;
Orthonormality;Subspaces;
Orthogonal projections;Subspaces;
Spans;Systems;
Linear independence;Systems;
Vectors;Systems;
Systems of linear equations;Systems;
Matrices;Systems;
Echelon forms;Systems;
LU factorization;Systems;
Linear combinations;Systems;
Vector equations;Systems;
Matrix equations;Systems;
Least-squares problems;Systems;
Homogeneous linear systems;Systems;
Matrix-vector product;Systems;
Determinants;Transformations;
Inverse matrices;Transformations;
Linear transformations;Transformations;
Inverse linear transformations;Transformations;
One-to-one and onto;Transformations;
Spectral theorem;Symmetry;
Symmetric matrices;Symmetry;
